Age,Race,Sex,Education,Weight
18 to 24 years,Asian,Female,10th grade,21
18 to 24 years,Asian,Female,11th grade2,68
18 to 24 years,Asian,Female,High school graduate,135
18 to 24 years,Asian,Female,"Some college, no degree",444
18 to 24 years,Asian,Female,"Associate's degree, occupational",19
18 to 24 years,Asian,Female,"Associate's degree, academic",23
18 to 24 years,Asian,Female,Bachelor's degree,135
18 to 24 years,Asian,Female,Master's degree,27
18 to 24 years,Asian,Female,Professional degree,9
18 to 24 years,Asian,Female,Doctoral degree,6
25 to 29 years,Asian,Female,None,0
25 to 29 years,Asian,Female,1st - 4th grade,7
25 to 29 years,Asian,Female,5th - 6th grade,5
25 to 29 years,Asian,Female,7th - 8th grade,8
25 to 29 years,Asian,Female,9th grade,2
25 to 29 years,Asian,Female,10th grade,7
25 to 29 years,Asian,Female,11th grade2,5
25 to 29 years,Asian,Female,High school graduate,105
25 to 29 years,Asian,Female,"Some college, no degree",81
25 to 29 years,Asian,Female,"Associate's degree, occupational",19
25 to 29 years,Asian,Female,"Associate's degree, academic",44
25 to 29 years,Asian,Female,Bachelor's degree,335
25 to 29 years,Asian,Female,Master's degree,180
25 to 29 years,Asian,Female,Professional degree,17
25 to 29 years,Asian,Female,Doctoral degree,16
30 to 34 years,Asian,Female,None,3
30 to 34 years,Asian,Female,1st - 4th grade,5
30 to 34 years,Asian,Female,5th - 6th grade,2
30 to 34 years,Asian,Female,7th - 8th grade,15
30 to 34 years,Asian,Female,9th grade,1
30 to 34 years,Asian,Female,10th grade,3
30 to 34 years,Asian,Female,11th grade2,14
30 to 34 years,Asian,Female,High school graduate,113
30 to 34 years,Asian,Female,"Some college, no degree",76
30 to 34 years,Asian,Female,"Associate's degree, occupational",23
30 to 34 years,Asian,Female,"Associate's degree, academic",43
30 to 34 years,Asian,Female,Bachelor's degree,305
30 to 34 years,Asian,Female,Master's degree,184
30 to 34 years,Asian,Female,Professional degree,17
30 to 34 years,Asian,Female,Doctoral degree,49
35 to 39 years,Asian,Female,None,6
35 to 39 years,Asian,Female,1st - 4th grade,2
35 to 39 years,Asian,Female,5th - 6th grade,2
35 to 39 years,Asian,Female,7th - 8th grade,4
35 to 39 years,Asian,Female,9th grade,4
35 to 39 years,Asian,Female,10th grade,11
35 to 39 years,Asian,Female,11th grade2,10
35 to 39 years,Asian,Female,High school graduate,123
35 to 39 years,Asian,Female,"Some college, no degree",62
35 to 39 years,Asian,Female,"Associate's degree, occupational",14
35 to 39 years,Asian,Female,"Associate's degree, academic",24
35 to 39 years,Asian,Female,Bachelor's degree,297
35 to 39 years,Asian,Female,Master's degree,213
35 to 39 years,Asian,Female,Professional degree,23
35 to 39 years,Asian,Female,Doctoral degree,32
40 to 44 years,Asian,Female,None,3
40 to 44 years,Asian,Female,1st - 4th grade,2
40 to 44 years,Asian,Female,5th - 6th grade,5
40 to 44 years,Asian,Female,7th - 8th grade,7
40 to 44 years,Asian,Female,9th grade,6
40 to 44 years,Asian,Female,10th grade,7
40 to 44 years,Asian,Female,11th grade2,21
40 to 44 years,Asian,Female,High school graduate,107
40 to 44 years,Asian,Female,"Some college, no degree",49
40 to 44 years,Asian,Female,"Associate's degree, occupational",21
40 to 44 years,Asian,Female,"Associate's degree, academic",55
40 to 44 years,Asian,Female,Bachelor's degree,261
40 to 44 years,Asian,Female,Master's degree,159
40 to 44 years,Asian,Female,Professional degree,22
40 to 44 years,Asian,Female,Doctoral degree,43
45 to 49 years,Asian,Female,None,6
45 to 49 years,Asian,Female,1st - 4th grade,1
45 to 49 years,Asian,Female,5th - 6th grade,14
45 to 49 years,Asian,Female,7th - 8th grade,10
45 to 49 years,Asian,Female,9th grade,5
45 to 49 years,Asian,Female,10th grade,5
45 to 49 years,Asian,Female,11th grade2,6
45 to 49 years,Asian,Female,High school graduate,165
45 to 49 years,Asian,Female,"Some college, no degree",57
45 to 49 years,Asian,Female,"Associate's degree, occupational",21
45 to 49 years,Asian,Female,"Associate's degree, academic",29
45 to 49 years,Asian,Female,Bachelor's degree,229
45 to 49 years,Asian,Female,Master's degree,130
45 to 49 years,Asian,Female,Professional degree,15
45 to 49 years,Asian,Female,Doctoral degree,28
50 to 54 years,Asian,Female,None,6
50 to 54 years,Asian,Female,1st - 4th grade,5
50 to 54 years,Asian,Female,5th - 6th grade,6
50 to 54 years,Asian,Female,7th - 8th grade,13
50 to 54 years,Asian,Female,9th grade,8
50 to 54 years,Asian,Female,10th grade,1
50 to 54 years,Asian,Female,11th grade2,7
50 to 54 years,Asian,Female,High school graduate,196
50 to 54 years,Asian,Female,"Some college, no degree",67
50 to 54 years,Asian,Female,"Associate's degree, occupational",13
50 to 54 years,Asian,Female,"Associate's degree, academic",42
50 to 54 years,Asian,Female,Bachelor's degree,180
50 to 54 years,Asian,Female,Master's degree,89
50 to 54 years,Asian,Female,Professional degree,12
50 to 54 years,Asian,Female,Doctoral degree,22
55 to 59 years,Asian,Female,None,12
55 to 59 years,Asian,Female,1st - 4th grade,8
55 to 59 years,Asian,Female,5th - 6th grade,18
55 to 59 years,Asian,Female,7th - 8th grade,7
55 to 59 years,Asian,Female,9th grade,10
55 to 59 years,Asian,Female,10th grade,11
55 to 59 years,Asian,Female,11th grade2,12
55 to 59 years,Asian,Female,High school graduate,137
55 to 59 years,Asian,Female,"Some college, no degree",55
55 to 59 years,Asian,Female,"Associate's degree, occupational",11
55 to 59 years,Asian,Female,"Associate's degree, academic",30
55 to 59 years,Asian,Female,Bachelor's degree,187
55 to 59 years,Asian,Female,Master's degree,58
55 to 59 years,Asian,Female,Professional degree,14
55 to 59 years,Asian,Female,Doctoral degree,16
60 to 64 years,Asian,Female,None,3
60 to 64 years,Asian,Female,1st - 4th grade,8
60 to 64 years,Asian,Female,5th - 6th grade,25
60 to 64 years,Asian,Female,7th - 8th grade,22
60 to 64 years,Asian,Female,9th grade,5
60 to 64 years,Asian,Female,10th grade,11
60 to 64 years,Asian,Female,11th grade2,8
60 to 64 years,Asian,Female,High school graduate,142
60 to 64 years,Asian,Female,"Some college, no degree",55
60 to 64 years,Asian,Female,"Associate's degree, occupational",5
60 to 64 years,Asian,Female,"Associate's degree, academic",39
60 to 64 years,Asian,Female,Bachelor's degree,159
60 to 64 years,Asian,Female,Master's degree,33
60 to 64 years,Asian,Female,Professional degree,4
60 to 64 years,Asian,Female,Doctoral degree,6
65 to 69 years,Asian,Female,None,4
65 to 69 years,Asian,Female,1st - 4th grade,10
65 to 69 years,Asian,Female,5th - 6th grade,31
65 to 69 years,Asian,Female,7th - 8th grade,15
65 to 69 years,Asian,Female,9th grade,4
65 to 69 years,Asian,Female,10th grade,4
65 to 69 years,Asian,Female,11th grade2,16
65 to 69 years,Asian,Female,High school graduate,118
65 to 69 years,Asian,Female,"Some college, no degree",29
65 to 69 years,Asian,Female,"Associate's degree, occupational",6
65 to 69 years,Asian,Female,"Associate's degree, academic",15
65 to 69 years,Asian,Female,Bachelor's degree,125
65 to 69 years,Asian,Female,Master's degree,25
65 to 69 years,Asian,Female,Professional degree,6
65 to 69 years,Asian,Female,Doctoral degree,3
70 to 74 years,Asian,Female,None,10
70 to 74 years,Asian,Female,1st - 4th grade,15
70 to 74 years,Asian,Female,5th - 6th grade,12
70 to 74 years,Asian,Female,7th - 8th grade,20
70 to 74 years,Asian,Female,9th grade,8
70 to 74 years,Asian,Female,10th grade,8
70 to 74 years,Asian,Female,11th grade2,6
70 to 74 years,Asian,Female,High school graduate,64
70 to 74 years,Asian,Female,"Some college, no degree",21
70 to 74 years,Asian,Female,"Associate's degree, occupational",9
70 to 74 years,Asian,Female,"Associate's degree, academic",8
70 to 74 years,Asian,Female,Bachelor's degree,81
70 to 74 years,Asian,Female,Master's degree,30
70 to 74 years,Asian,Female,Professional degree,2
70 to 74 years,Asian,Female,Doctoral degree,9
75 years and over,Asian,Female,None,21
75 years and over,Asian,Female,1st - 4th grade,27
75 years and over,Asian,Female,5th - 6th grade,39
75 years and over,Asian,Female,7th - 8th grade,31
75 years and over,Asian,Female,9th grade,10
75 years and over,Asian,Female,10th grade,20
75 years and over,Asian,Female,11th grade2,10
75 years and over,Asian,Female,High school graduate,187
75 years and over,Asian,Female,"Some college, no degree",34
75 years and over,Asian,Female,"Associate's degree, occupational",7
75 years and over,Asian,Female,"Associate's degree, academic",15
75 years and over,Asian,Female,Bachelor's degree,86
75 years and over,Asian,Female,Master's degree,30
75 years and over,Asian,Female,Professional degree,2
75 years and over,Asian,Female,Doctoral degree,5
18 to 24 years,Black,Male,None,3
18 to 24 years,Black,Male,1st - 4th grade,4
18 to 24 years,Black,Male,5th - 6th grade,5
18 to 24 years,Black,Male,7th - 8th grade,15
18 to 24 years,Black,Male,9th grade,22
18 to 24 years,Black,Male,10th grade,73
18 to 24 years,Black,Male,11th grade2,273
18 to 24 years,Black,Male,High school graduate,798
18 to 24 years,Black,Male,"Some college, no degree",719
18 to 24 years,Black,Male,"Associate's degree, occupational",33
18 to 24 years,Black,Male,"Associate's degree, academic",67
18 to 24 years,Black,Male,Bachelor's degree,114
18 to 24 years,Black,Male,Master's degree,12
18 to 24 years,Black,Male,Professional degree,0
18 to 24 years,Black,Male,Doctoral degree,0
25 to 29 years,Black,Male,None,0
25 to 29 years,Black,Male,1st - 4th grade,11
25 to 29 years,Black,Male,5th - 6th grade,14
25 to 29 years,Black,Male,7th - 8th grade,9
25 to 29 years,Black,Male,9th grade,15
25 to 29 years,Black,Male,10th grade,24
25 to 29 years,Black,Male,11th grade2,73
25 to 29 years,Black,Male,High school graduate,603
25 to 29 years,Black,Male,"Some college, no degree",449
25 to 29 years,Black,Male,"Associate's degree, occupational",53
25 to 29 years,Black,Male,"Associate's degree, academic",69
25 to 29 years,Black,Male,Bachelor's degree,276
25 to 29 years,Black,Male,Master's degree,52
25 to 29 years,Black,Male,Professional degree,3
25 to 29 years,Black,Male,Doctoral degree,7
30 to 34 years,Black,Male,None,0
30 to 34 years,Black,Male,1st - 4th grade,4
30 to 34 years,Black,Male,5th - 6th grade,4
30 to 34 years,Black,Male,7th - 8th grade,1
30 to 34 years,Black,Male,9th grade,16
30 to 34 years,Black,Male,10th grade,50
30 to 34 years,Black,Male,11th grade2,71
30 to 34 years,Black,Male,High school graduate,402
30 to 34 years,Black,Male,"Some college, no degree",325
30 to 34 years,Black,Male,"Associate's degree, occupational",57
30 to 34 years,Black,Male,"Associate's degree, academic",116
30 to 34 years,Black,Male,Bachelor's degree,217
30 to 34 years,Black,Male,Master's degree,75
30 to 34 years,Black,Male,Professional degree,9
30 to 34 years,Black,Male,Doctoral degree,13
35 to 39 years,Black,Male,None,7
35 to 39 years,Black,Male,1st - 4th grade,0
35 to 39 years,Black,Male,5th - 6th grade,4
35 to 39 years,Black,Male,7th - 8th grade,5
35 to 39 years,Black,Male,9th grade,26
35 to 39 years,Black,Male,10th grade,34
35 to 39 years,Black,Male,11th grade2,56
35 to 39 years,Black,Male,High school graduate,449
35 to 39 years,Black,Male,"Some college, no degree",210
35 to 39 years,Black,Male,"Associate's degree, occupational",62
35 to 39 years,Black,Male,"Associate's degree, academic",69
35 to 39 years,Black,Male,Bachelor's degree,241
35 to 39 years,Black,Male,Master's degree,85
35 to 39 years,Black,Male,Professional degree,3
35 to 39 years,Black,Male,Doctoral degree,3
40 to 44 years,Black,Male,None,3
40 to 44 years,Black,Male,1st - 4th grade,3
40 to 44 years,Black,Male,5th - 6th grade,5
40 to 44 years,Black,Male,7th - 8th grade,8
40 to 44 years,Black,Male,9th grade,12
40 to 44 years,Black,Male,10th grade,17
40 to 44 years,Black,Male,11th grade2,65
40 to 44 years,Black,Male,High school graduate,377
40 to 44 years,Black,Male,"Some college, no degree",247
40 to 44 years,Black,Male,"Associate's degree, occupational",49
40 to 44 years,Black,Male,"Associate's degree, academic",69
40 to 44 years,Black,Male,Bachelor's degree,206
40 to 44 years,Black,Male,Master's degree,68
40 to 44 years,Black,Male,Professional degree,0
40 to 44 years,Black,Male,Doctoral degree,15
45 to 49 years,Black,Male,None,2
45 to 49 years,Black,Male,1st - 4th grade,3
45 to 49 years,Black,Male,5th - 6th grade,8
45 to 49 years,Black,Male,7th - 8th grade,10
45 to 49 years,Black,Male,9th grade,12
45 to 49 years,Black,Male,10th grade,27
45 to 49 years,Black,Male,11th grade2,56
45 to 49 years,Black,Male,High school graduate,434
45 to 49 years,Black,Male,"Some college, no degree",206
45 to 49 years,Black,Male,"Associate's degree, occupational",60
45 to 49 years,Black,Male,"Associate's degree, academic",75
45 to 49 years,Black,Male,Bachelor's degree,190
45 to 49 years,Black,Male,Master's degree,96
45 to 49 years,Black,Male,Professional degree,0
45 to 49 years,Black,Male,Doctoral degree,13
50 to 54 years,Black,Male,None,7
50 to 54 years,Black,Male,1st - 4th grade,3
50 to 54 years,Black,Male,5th - 6th grade,3
50 to 54 years,Black,Male,7th - 8th grade,12
50 to 54 years,Black,Male,9th grade,19
50 to 54 years,Black,Male,10th grade,36
50 to 54 years,Black,Male,11th grade2,71
50 to 54 years,Black,Male,High school graduate,531
50 to 54 years,Black,Male,"Some college, no degree",223
50 to 54 years,Black,Male,"Associate's degree, occupational",39
50 to 54 years,Black,Male,"Associate's degree, academic",64
50 to 54 years,Black,Male,Bachelor's degree,144
50 to 54 years,Black,Male,Master's degree,53
50 to 54 years,Black,Male,Professional degree,19
50 to 54 years,Black,Male,Doctoral degree,16
55 to 59 years,Black,Male,None,7
55 to 59 years,Black,Male,1st - 4th grade,0
55 to 59 years,Black,Male,5th - 6th grade,7
55 to 59 years,Black,Male,7th - 8th grade,18
55 to 59 years,Black,Male,9th grade,15
55 to 59 years,Black,Male,10th grade,37
55 to 59 years,Black,Male,11th grade2,78
55 to 59 years,Black,Male,High school graduate,500
55 to 59 years,Black,Male,"Some college, no degree",182
55 to 59 years,Black,Male,"Associate's degree, occupational",37
55 to 59 years,Black,Male,"Associate's degree, academic",58
55 to 59 years,Black,Male,Bachelor's degree,169
55 to 59 years,Black,Male,Master's degree,47
55 to 59 years,Black,Male,Professional degree,10
55 to 59 years,Black,Male,Doctoral degree,18
60 to 64 years,Black,Male,None,6
60 to 64 years,Black,Male,1st - 4th grade,5
60 to 64 years,Black,Male,5th - 6th grade,9
60 to 64 years,Black,Male,7th - 8th grade,7
60 to 64 years,Black,Male,9th grade,20
60 to 64 years,Black,Male,10th grade,21
60 to 64 years,Black,Male,11th grade2,65
60 to 64 years,Black,Male,High school graduate,374
60 to 64 years,Black,Male,"Some college, no degree",181
60 to 64 years,Black,Male,"Associate's degree, occupational",41
60 to 64 years,Black,Male,"Associate's degree, academic",54
60 to 64 years,Black,Male,Bachelor's degree,126
60 to 64 years,Black,Male,Master's degree,66
60 to 64 years,Black,Male,Professional degree,8
60 to 64 years,Black,Male,Doctoral degree,19
65 to 69 years,Black,Male,None,2
65 to 69 years,Black,Male,1st - 4th grade,16
65 to 69 years,Black,Male,5th - 6th grade,14
65 to 69 years,Black,Male,7th - 8th grade,33
65 to 69 years,Black,Male,9th grade,12
65 to 69 years,Black,Male,10th grade,27
65 to 69 years,Black,Male,11th grade2,62
65 to 69 years,Black,Male,High school graduate,262
65 to 69 years,Black,Male,"Some college, no degree",115
65 to 69 years,Black,Male,"Associate's degree, occupational",34
65 to 69 years,Black,Male,"Associate's degree, academic",24
65 to 69 years,Black,Male,Bachelor's degree,83
65 to 69 years,Black,Male,Master's degree,60
65 to 69 years,Black,Male,Professional degree,4
65 to 69 years,Black,Male,Doctoral degree,11
70 to 74 years,Black,Male,None,2
70 to 74 years,Black,Male,1st - 4th grade,10
70 to 74 years,Black,Male,5th - 6th grade,11
70 to 74 years,Black,Male,7th - 8th grade,33
70 to 74 years,Black,Male,9th grade,11
70 to 74 years,Black,Male,10th grade,19
70 to 74 years,Black,Male,11th grade2,35
70 to 74 years,Black,Male,High school graduate,164
70 to 74 years,Black,Male,"Some college, no degree",74
70 to 74 years,Black,Male,"Associate's degree, occupational",13
70 to 74 years,Black,Male,"Associate's degree, academic",20
70 to 74 years,Black,Male,Bachelor's degree,62
70 to 74 years,Black,Male,Master's degree,24
70 to 74 years,Black,Male,Professional degree,5
70 to 74 years,Black,Male,Doctoral degree,15
75 years and over,Black,Male,None,10
75 years and over,Black,Male,1st - 4th grade,16
75 years and over,Black,Male,5th - 6th grade,31
75 years and over,Black,Male,7th - 8th grade,46
75 years and over,Black,Male,9th grade,27
75 years and over,Black,Male,10th grade,48
75 years and over,Black,Male,11th grade2,38
75 years and over,Black,Male,High school graduate,176
75 years and over,Black,Male,"Some college, no degree",85
75 years and over,Black,Male,"Associate's degree, occupational",6
75 years and over,Black,Male,"Associate's degree, academic",18
75 years and over,Black,Male,Bachelor's degree,62
75 years and over,Black,Male,Master's degree,32
75 years and over,Black,Male,Professional degree,2
75 years and over,Black,Male,Doctoral degree,6
18 to 24 years,Black,Female,None,7
18 to 24 years,Black,Female,1st - 4th grade,1
18 to 24 years,Black,Female,5th - 6th grade,3
18 to 24 years,Black,Female,7th - 8th grade,5
18 to 24 years,Black,Female,9th grade,24
18 to 24 years,Black,Female,10th grade,59
18 to 24 years,Black,Female,11th grade2,280
18 to 24 years,Black,Female,High school graduate,728
18 to 24 years,Black,Female,"Some college, no degree",815
18 to 24 years,Black,Female,"Associate's degree, occupational",47
18 to 24 years,Black,Female,"Associate's degree, academic",81
18 to 24 years,Black,Female,Bachelor's degree,184
18 to 24 years,Black,Female,Master's degree,14
18 to 24 years,Black,Female,Professional degree,3
18 to 24 years,Black,Female,Doctoral degree,1
25 to 29 years,Black,Female,None,1
